rank,input_name,segment,resolved_name,code,industry_level1,industry_level2,industry_name,competitors_count,top5_count,suppliers_count,customers_count,elapsed_sec,ok,error
1,中芯国际,晶圆代工,中芯国际有限公司,,综合,综合行业,综合行业,0,0,0,0,29.74,True,
2,华虹集团,晶圆制造,华虹集团有限公司,,综合,综合行业,综合行业,0,0,0,0,30.44,True,
3,长江存储,存储芯片制造,长江存储有限公司,,综合,综合行业,综合行业,0,0,0,0,25.71,True,
4,北方华创,半导体设备,北方华创,002371,工业,半导体制造,半导体制造,12,5,0,0,20.77,True,
5,中微公司,半导体设备,中微公司,688012,工业,半导体制造,半导体制造,12,5,0,0,26.68,True,
6,长电科技,封装测试,长电科技有限公司,,综合,综合行业,综合行业,0,0,0,0,27.99,True,
7,通富微电,封装测试,通富微电,002156,工业,半导体制造,半导体制造,12,5,0,0,21.06,True,
8,华天科技,封装测试,华天科技有限公司,,综合,综合行业,综合行业,0,0,0,0,20.0,True,
9,兆易创新,存储/MCU设计,兆易创新,603986,工业,半导体制造,半导体制造,12,5,0,0,19.14,True,
10,韦尔股份,图像传感器/芯片设计,韦尔股份有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,16.34,True,
11,紫光国微,集成电路设计/设备/材料相关,紫光国微,002049,工业,半导体制造,半导体制造,12,5,0,0,21.85,True,
12,寒武纪,集成电路设计/设备/材料相关,寒武纪-U,688256,工业,半导体制造,半导体制造,12,5,0,0,18.71,True,
13,澜起科技,集成电路设计/设备/材料相关,澜起科技,688008,工业,半导体制造,半导体制造,12,5,0,0,38.05,True,
14,龙芯中科,集成电路设计/设备/材料相关,龙芯中科,688047,工业,半导体制造,半导体制造,12,5,0,0,20.03,True,
15,卓胜微,集成电路设计/设备/材料相关,卓胜微,300782,工业,半导体制造,半导体制造,12,5,0,0,20.04,True,
16,汇顶科技,集成电路设计/设备/材料相关,汇顶科技有限公司,,综合,综合行业,综合行业,0,0,0,0,14.69,True,
17,圣邦股份,集成电路设计/设备/材料相关,圣邦股份有限公司,,综合,综合行业,综合行业,0,0,0,0,25.51,True,
18,北京君正,集成电路设计/设备/材料相关,北京君正,300223,工业,半导体制造,半导体制造,12,5,0,0,36.93,True,
19,格科微,集成电路设计/设备/材料相关,格科微,688728,工业,半导体制造,半导体制造,12,5,0,0,24.22,True,
20,思瑞浦,集成电路设计/设备/材料相关,思瑞浦,688536,工业,半导体制造,半导体制造,12,5,0,0,20.01,True,
21,南芯科技,集成电路设计/设备/材料相关,南芯科技有限公司,,工业,半导体制造,半导体制造,5,5,0,0,28.65,True,
22,芯原股份,集成电路设计/设备/材料相关,芯原股份有限公司,,综合,综合行业,综合行业,0,0,0,0,12.47,True,
23,全志科技,集成电路设计/设备/材料相关,全志科技有限公司,,综合,综合行业,综合行业,0,0,0,0,15.75,True,
24,瑞芯微,集成电路设计/设备/材料相关,瑞芯微,603893,工业,半导体制造,半导体制造,12,5,0,0,19.45,True,
25,晶晨股份,集成电路设计/设备/材料相关,晶晨股份有限公司,,综合,综合行业,综合行业,0,0,0,0,15.28,True,
26,士兰微,集成电路设计/设备/材料相关,士兰微,600460,工业,半导体制造,半导体制造,12,5,0,0,20.09,True,
27,华润微,集成电路设计/设备/材料相关,华润微,688396,工业,半导体制造,半导体制造,12,5,0,0,20.95,True,
28,比亚迪半导体,集成电路设计/设备/材料相关,比亚迪,002594,工业,汽车制造,汽车制造,5,5,0,0,17.38,True,
29,三安光电,集成电路设计/设备/材料相关,三安光电,600703,综合,综合行业,综合行业,0,0,0,0,19.62,True,
30,沪硅产业,集成电路设计/设备/材料相关,沪硅产业,688126,工业,半导体制造,半导体制造,12,5,0,0,32.7,True,
31,拓荆科技,集成电路设计/设备/材料相关,拓荆科技,688072,工业,半导体制造,半导体制造,12,5,0,0,19.95,True,
32,盛美上海,集成电路设计/设备/材料相关,盛美上海,688082,工业,半导体制造,半导体制造,12,5,1,0,40.04,True,
33,华海清科,集成电路设计/设备/材料相关,华海清科,688120,工业,半导体制造,半导体制造,12,5,0,0,34.2,True,
